Word,3singular,Present Participle,Simple Past,Past Participle
reconcile,reconciles,reconciling,reconciled,reconciled
project,projects,projecting,projected,projected
co-ordinate,co-ordinates,co-ordinating,co-ordinated,co-ordinated
snap,snaps,snapping,snapped,snapped
damn,damns,damning,damned,damned
bake,bakes,baking,baked,baked
top,tops,topping,topped,topped
fold,folds,folding,folded,folded
concede,concedes,conceding,conceded,conceded
renew,renews,renewing,renewed,renewed
formulate,formulates,formulating,formulated,formulated
confuse,confuses,confusing,confused,confused
maximise,,,,
sweep,sweeps,sweeping,swept,swept
cheer,cheers,cheering,cheered,cheered
steer,steers,steering,steered,steered
base,bases,basing,based,based
cf.,,,,
indulge,indulges,indulging,indulged,indulged
decrease,decreases,decreasing,decreased,decreased
reserve,reserves,reserving,reserved,reserved
host,hosts,hosting,hosted,hosted
evolve,evolves,evolving,evolved,evolved
foster,fosters,fostering,fostered,fostered
discourage,discourages,discouraging,discouraged,discouraged
curb,curbs,curbing,curbed,curbed
allocate,allocates,allocating,allocated,allocated
supervise,supervises,supervising,supervised,supervised
fade,fades,fading,faded,faded
endorse,endorses,endorsing,endorsed,endorsed
condemn,condemns,condemning,condemned,condemned
book,books,booking,booked,booked
tip,tips,tipping,tipped,tipped
reform,reforms,reforming,reformed,reformed
complement,complements,complementing,complemented,complemented
punish,punishes,punishing,punished,punished
bang,bangs,banging,banged,banged
outline,outlines,outlining,outlined,outlined
diminish,diminishes,diminishing,diminished,diminished
prevail,prevails,prevailing,prevailed,prevailed
leap,leaps,leaping,leaped,leaped
wrap,wraps,wrapping,wrapped,wrapped
compromise,compromises,compromising,compromised,compromised
collapse,collapses,collapsing,collapsed,collapsed
safeguard,safeguards,safeguarding,safeguarded,safeguarded
inhibit,inhibits,inhibiting,inhibited,inhibited
scream,screams,screaming,screamed,screamed
date,dates,dating,dated,dated
delete,deletes,deleting,deleted,deleted
attain,attains,attaining,attained,attained
dislike,dislikes,disliking,disliked,disliked
conceive,conceives,conceiving,conceived,conceived
shine,shines,shining,shone,shone
dictate,dictates,dictating,dictated,dictated
unite,unites,uniting,united,united
import,imports,importing,imported,imported
spring,springs,springing,sprang,sprung
rebuild,rebuilds,rebuilding,rebuilt,rebuilt
flourish,flourishes,flourishing,flourished,flourished
criticise,criticises,criticising,criticised,criticised
boil,boils,boiling,boiled,boiled
flee,flees,fleeing,fled,fled
commence,commences,commencing,commenced,commenced
praise,praises,praising,praised,praised
draft,drafts,drafting,drafted,drafted
park,parks,parking,parked,parked
discriminate,discriminates,discriminating,discriminated,discriminated
track,tracks,tracking,tracked,tracked
enclose,encloses,enclosing,enclosed,enclosed
interview,interviews,interviewing,interviewed,interviewed
tighten,tightens,tightening,tightened,tightened
price,prices,pricing,priced,priced
colour,colours,colouring,coloured,coloured
venture,ventures,venturing,ventured,ventured
speculate,speculates,speculating,speculated,speculated
depart,departs,departing,departed,departed
bury,buries,burying,buried,buried
interrupt,interrupts,interrupting,interrupted,interrupted
disguise,disguises,disguising,disguised,disguised
elect,elects,electing,elected,elected
withstand,withstands,withstanding,withstood,withstood
discharge,discharges,discharging,discharged,discharged
restrain,restrains,restraining,restrained,restrained
thrive,thrives,thriving,throve,thriven
echo,echoes,echoing,echoed,echoed
divert,diverts,diverting,diverted,diverted
fry,fries,frying,fried,fried
dissolve,dissolves,dissolving,dissolved,dissolved
edit,edits,editing,edited,edited
assemble,assembles,assembling,assembled,assembled
ruin,ruins,ruining,ruined,ruined
accelerate,accelerates,accelerating,accelerated,accelerated
envisage,envisages,envisaging,envisaged,envisaged
congratulate,congratulates,congratulating,congratulated,congratulated
retrieve,retrieves,retrieving,retrieved,retrieved
descend,descends,descending,descended,descended
suspend,suspends,suspending,suspended,suspended
experiment,experiments,experimenting,experimented,experimented
ship,ships,shipping,shipped,shipped
frighten,frightens,frightening,frightened,frightened
fool,fools,fooling,fooled,fooled
'ave,'as,'avin','ad,'ad
inspire,inspires,inspiring,inspired,inspired
heal,heals,healing,hole,holen
master,masters,mastering,mastered,mastered
terminate,terminates,terminating,terminated,terminated
amend,amends,amending,amended,amended
scratch,scratches,scratching,scratched,scratched
embark,embarks,embarking,embarked,embarked
entail,entails,entailing,entailed,entailed
execute,executes,executing,executed,executed
consolidate,consolidates,consolidating,consolidated,consolidated
cash,cashes,cashing,cashed,cashed
round,rounds,rounding,rounded,rounded
isolate,isolates,isolating,isolated,isolated
warrant,warrants,warranting,warranted,warranted
signal,signals,signalling,signalled,signalled
weaken,weakens,weakening,weakened,weakened
pin,pins,pinning,pinned,pinned
march,marches,marching,marched,marched
desire,desires,desiring,desired,desired
widen,widens,widening,widened,widened
level,levels,leveling,leveled,leveled
chat,chats,chatting,chatted,chatted
board,boards,boarding,boarded,boarded
contend,contends,contending,contended,contended
invent,invents,inventing,invented,invented
resource,resources,resourcing,resourced,resourced
manufacture,manufactures,manufacturing,manufactured,manufactured
seal,seals,sealing,sealed,sealed
reconsider,reconsiders,reconsidering,reconsidered,reconsidered
suck,sucks,sucking,sucked,sucked
picture,pictures,picturing,pictured,pictured
crash,crashes,crashing,crashed,crashed
transport,transports,transporting,transported,transported
plug,plugs,plugging,plugged,plugged
assign,assigns,assigning,assigned,assigned
enquire,enquires,enquiring,enquired,enquired
campaign,campaigns,campaigning,campaigned,campaigned
trap,traps,trapping,trapped,trapped
surround,surrounds,surrounding,surrounded,surrounded
debate,debates,debating,debated,debated
upgrade,upgrades,upgrading,upgraded,upgraded
decorate,decorates,decorating,decorated,decorated
confer,confers,conferring,conferred,conferred
accumulate,accumulates,accumulating,accumulated,accumulated
profit,profits,profiting,profited,profited
file,files,filing,filed,filed
inherit,inherits,inheriting,inherited,inherited
disrupt,disrupts,disrupting,disrupted,disrupted
contrast,contrasts,contrasting,contrasted,contrasted
chuck,chucks,chucking,chucked,chucked
tick,ticks,ticking,ticked,ticked
plead,pleads,pleading,pleaded,pleaded
dip,dips,dipping,dipped,dipped
subscribe,subscribes,subscribing,subscribed,subscribed
educate,educates,educating,educated,educated
divorce,divorces,divorcing,divorced,divorced
spin,spins,spinning,spun,spun
row,rows,rowing,rowed,rowed
obscure,obscures,obscuring,obscured,obscured
creep,creeps,creeping,crept,crept
interest,interests,interesting,interested,interested
overlook,overlooks,overlooking,overlooked,overlooked
twist,twists,twisting,twisted,twisted
mature,matures,maturing,matured,matured
blend,blends,blending,blended,blended
revise,revises,revising,revised,revised
attribute,attributes,attributing,attributed,attributed
explode,explodes,exploding,exploded,exploded
dwell,dwells,dwelling,dwelt,dwelt
drown,drowns,drowning,drowned,drowned
alleviate,alleviates,alleviating,alleviated,alleviated
strip,strips,stripping,stripped,stripped
grade,grades,grading,graded,graded
revert,reverts,reverting,reverted,reverted
value,values,valuing,valued,valued
award,awards,awarding,awarded,awarded
strive,strives,striving,strove,striven
notify,notifies,notifying,notified,notified
remedy,remedies,remedying,remedied,remedied
accuse,accuses,accusing,accused,accused
instruct,instructs,instructing,instructed,instructed
spill,spills,spilling,spilled,spilled
strain,strains,straining,strained,strained
comprehend,comprehends,comprehending,comprehended,comprehended
soften,softens,softening,softened,softened
postpone,postpones,postponing,postponed,postponed
wave,waves,waving,waved,waved
bounce,bounces,bouncing,bounced,bounced
stock,stocks,stocking,stocked,stocked
position,positions,positioning,positioned,positioned
insure,,,,
adhere,adheres,adhering,adhered,adhered
cling,clings,clinging,clung,clung
summon,summons,summoning,summoned,summoned
pause,pauses,pausing,paused,paused
empty,empties,emptying,emptied,emptied
classify,classifies,classifying,classified,classified
